ID, Sentence, Aspect, Intensity
R0297:S018, 很清爽的味道。, 味道, 6.33#6.17
R0297:S024, 巧克力跟抹茶好像都不错。, 巧克力#抹茶, 6.17#5.67 6.17#5.5
R0300:S006, 饼皮整个煎得焦香。, 饼皮, 6.25#5.75
R0300:S007, 饼皮厚薄刚刚好。, 饼皮厚薄, 6.33#5.5
R0300:S008, 再配上满满又多汁的馅料。, 馅料#馅料, 5.83#5.17 5.83#5.33
R0300:S012, 猪肉馅饼皮薄。, 猪肉馅饼皮, 5.5#4.88
R0300:S013, 肉多汁。, 肉, 6.12#5.62
R0301:S008, 酒放得够多。, 酒, 6.2#6.0
R0301:S012, 油质分布细密, 油质, 6.75#6.0
R0301:S013, 白膏极多又黏稠。, 白膏#白膏, 5.83#5.5 5.33#5.17
R0301:S014, 很弹润也很甜美。, NULL#NULL, 6.25#5.75 6.25#5.75
R0302:S003, 米饭是偏硬的口感。, 米饭, 4.17#5.33
R0302:S004, 另外起司撒的非常大方。, 起司, 7.12#7.25
R0302:S007, 风干凤梨酸酸甜甜的味道。, 风干凤梨, 6.5#5.33
R0303:S003, 面食中我更喜欢阳春面拉面等热食料理。, 阳春面#拉面, 5.75#5.0 5.75#5.0
R0303:S010, 交通相当便利。, 交通, 6.33#6.17
R0303:S016, 但由于空间通风良好。, 空间, 5.67#5.0
R0303:S029, 散发着微微的香气。, 香气, 5.83#5.0
R0303:S032, 让口味更有层次。, 口味, 6.25#6.0
R0303:S034, 面条的软硬度掌握得宜。, 面条的软硬度, 6.0#6.0
R0303:S035, 面条附有弹性。, 面条, 5.67#5.33
R0303:S038, 小黄瓜清脆爽口。, 小黄瓜, 6.17#6.0
R0303:S040, 相当对味。, NULL, 6.38#5.75
R0303:S043, 榨菜肉丝的滋味不错。, 榨菜肉丝的滋味, 6.38#6.25
R0303:S044, 咸度也恰到好处。, 咸度, 6.38#6.25
R0303:S046, 口味略显清淡。, 口味, 4.5#4.83
R0303:S049, 蛋花口感滑嫩。, 蛋花口感, 6.12#5.62
R0303:S050, 紫菜则带有一丝鲜甜。, 紫菜, 6.5#6.1
R0303:S052, 滋味不错。, 滋味, 5.83#5.17
R0303:S053, 特制的贡丸口感软嫩。, 贡丸口感, 6.38#5.38
R0303:S054, 鲜味十足。, NULL, 6.5#6.2
R0303:S055, 口感扎实。, 口感, 6.12#5.25
R0303:S060, 清甜却不腻口。, NULL#NULL, 6.17#5.5 6.0#5.5
R0303:S067, 永吉凉面好吃。, 永吉凉面, 6.2#5.8
R0303:S071, 但便利的交通位置却也让这里成为了一处平日用餐的好选择。, 交通位置, 5.67#5.17
R0304:S005, 店家介绍老娘的老板非常热情好客。, 老板, 7.0#6.88
R0304:S025, 古早味红茶不会太甜也不会过淡。, 古早味红茶#古早味红茶, 6.0#5.25 6.0#5.25
R0304:S026, 而且副餐的雪Q饼也很好吃。, 雪Q饼, 6.12#5.75
R0304:S027, 口感绵密软Q。, 口感, 6.12#5.62
R0304:S028, 很合我的口味。, 口味, 6.0#5.62
R0304:S033, 再搭配好吃的马告香肠。, 马告香肠, 6.0#5.38
R0304:S034, 马告茶叶蛋卤的非常够味。, 马告茶叶蛋, 6.5#6.5
R0304:S045, 柠檬汁超级对胃口的。, 柠檬汁, 6.88#6.62
R0304:S047, 香菇肉粽餐点真材实料。, 香菇肉粽, 6.25#5.38
R0304:S048, 老板也非常亲切好客。, 老板, 6.5#7.0
R0305:S001, 看起来非常美味。, NULL, 7.0#6.5
R0305:S003, 空间宽敞明亮。, 空间, 6.25#5.75
R0305:S004, 环境还蛮舒服的。, 环境, 6.0#5.83
R0305:S009, 这个份量蛮刚好的。, 份量, 6.0#5.5
R0305:S011, 略有嚼劲很好吃。, NULL#NULL, 6.17#6.0 6.33#6.83
R0305:S018, 熏鲑鱼口感丰富。, 熏鲑鱼口感, 5.88#5.75
R0305:S019, 里面每种配料都好吃。, 配料, 6.5#6.12
R0305:S020, 鸡肉很嫩。, 鸡肉, 6.33#6.33
R0305:S026, 龙虾面是我当日的爱。, 龙虾面, 7.5#7.25
R0305:S027, 浓郁的酱汁配上龙虾的鲜。, 酱汁#龙虾, 6.5#5.62 6.5#5.62
R0305:S036, 口感很好。, 口感, 6.0#5.25
R0305:S037, 肋眼油脂颇丰。, 肋眼油脂, 6.25#6.25
R0306:S002, 价格也高一些。, 价格, 4.88#5.75
R0306:S003, 但品质都还不错。, 品质, 6.0#5.17
R0306:S011, 饼们都圆润润的。, 饼, 5.62#5.62
R0306:S014, 价格是有点贵。, 价格, 4.25#4.88
R0306:S019, 蛋黄酥很香。, 蛋黄酥, 6.17#5.67
R0306:S022, 蛋黄对我来说有点腥味。, 蛋黄, 4.0#5.38
R0306:S027, 甜度刚好。, 甜度, 5.5#5.0
R0306:S029, 吃起来更清香。, NULL, 6.25#5.88
R0306:S033, 蛋黄有点腥味。, 蛋黄, 4.0#5.12
R0306:S042, 有机文山茶红豆酥茶香浓郁。, 有机文山茶红豆酥茶香, 6.75#6.0
R0306:S043, 红豆不过甜。, 红豆, 5.83#6.33
R0306:S046, 内馅细致。, 内馅, 6.0#5.0
R0306:S047, 甜度适中。, 甜度, 5.5#5.0
R0306:S050, 吃起来甜中带着清香。, NULL, 6.5#5.5
R0306:S051, 算是爽口。, NULL, 5.75#5.38
R0306:S054, 蛋黄酥整体来说味道都还不错。, 蛋黄酥, 5.88#5.5
R0306:S056, 小月饼跟肚脐饼尤其美味。, 小月饼#肚脐饼, 6.33#5.17 6.33#5.17
R0307:S037, 吃起来有着酥脆的口感。, 口感, 5.75#5.12
R0307:S038, 起司的味道很浓郁。, 起司, 6.25#5.75
R0307:S044, 吃起来非常顺口。, NULL, 7.25#6.62
R0307:S060, 青酱的味道浓而不腻。, 青酱, 6.62#6.38
R0309:S004, 唐扬鸡本身不错吃。, 唐扬鸡, 6.17#5.5
R0309:S010, 中式餐点满单薄的。, 中式餐点, 4.5#5.12
R0310:S005, 鸭白汤拉面也很好喝。, 鸭白汤拉面, 6.67#6.5
R0310:S009, 鸭白汤底非常香醇好喝。, 鸭白汤底, 7.0#7.0
R0312:S009, 氛围也舒适。, 氛围, 6.1#5.5
R0312:S015, 透抽弹牙。, 透抽, 6.7#6.1
R0315:S018, 所以面包单吃就有炭香味。, 面包, 6.5#6.0
R0315:S019, 手打汉堡排口感扎实。, 手打汉堡排口感, 6.17#6.0
R0315:S020, 肉汁很香甜。, 肉汁, 6.5#5.83
R0315:S024, 吃起来会感觉特别清爽。, NULL, 6.17#6.67
R0315:S025, 口感软嫩又入味。, 口感#口感, 6.88#6.25 6.88#6.25
R0315:S026, 而且还有满满的炭香味。, 炭香味, 6.5#6.0
R0316:S005, 日式咖喱有点甜甜的。, 日式咖喱, 5.38#5.38
R0316:S006, 我还满喜欢这种咖喱的。, 咖喱, 5.88#5.5
R0316:S012, 炸猪排CP值高。, 炸猪排, 6.38#6.0
R0317:S015, 这个牛小排是新西兰的也是很好吃。, 牛小排, 6.83#6.0
R0317:S018, 超嫩牛胸。, 牛胸, 6.5#6.83
R0318:S011, 交通相当便利。, 交通, 6.75#6.25
R0318:S045, 肉质不错。, 肉质, 6.3#6.0
R0318:S050, 肉质超Q弹。, 肉质, 6.75#6.75
R0318:S058, 甘口酱烧猪梅花也是相当有弹性。, 甘口酱烧猪梅花, 6.5#6.38
R0318:S059, 口感也很有嚼劲。, 口感, 6.3#6.0
R0318:S064, 中辛山椒鸡软骨腌渍的蛮入味。, 中辛山椒鸡软骨, 6.33#6.5
R0318:S065, 口感很脆。, 口感, 6.5#6.33
R0318:S074, 月见牛肉拌饭吃起来很过瘾。, 月见牛肉拌饭, 7.12#6.88
R0318:S080, 布朗尼热呼呼的超好吃。, 布朗尼, 7.75#7.62
R0320:S004, 甜点也挺美味。, 甜点, 6.25#5.88
R0320:S012, 皮脆。, 皮, 7.0#6.25
R0321:S009, 价格也不贵。, 价格, 6.25#5.5
R0321:S024, 调味无特色。, 调味, 4.0#5.0
R0321:S036, 咸猪肉片带嚼劲。, 咸猪肉片, 6.12#5.12
R0327:S036, 品项简约。, 品项, 5.38#5.0
R0327:S064, 它的味道还是偏淡。, 味道, 4.62#5.62
R0327:S068, 我喜欢这个熟度的溏心蛋。, 溏心蛋, 6.88#6.25
R0327:S069, 到目前都是好吃的面。, 面, 6.12#5.75
R0327:S075, 肉丁很香。, 肉丁, 6.83#6.0
R0327:S089, 味道真的不错。, 味道, 6.5#6.5
R0327:S092, 汤我算喜欢。, 汤, 5.88#5.0
R0327:S096, 是好吃的面。, 面, 6.75#6.38
R0328:S003, 所以味道真的很有水准。, 味道, 6.25#6.25
R0328:S006, 味道真的是好极了。, 味道, 7.83#7.5
R0328:S015, 还满实惠平价的店。, NULL, 6.83#5.33
R0328:S017, 这杯蜂蜜拿铁真的是顺口。, 蜂蜜拿铁, 6.33#6.0
R0329:S002, 点了浓厚鸡白汤拉面整体吃起来还不错。, 浓厚鸡白汤拉面, 5.83#5.33
R0329:S004, 鸡白汤底不错喝。, 鸡白汤底, 6.38#5.88
R0330:S018, 但汤头真的不错。, 汤头, 6.25#5.75
R0332:S001, 店内干干净净。, 店, 6.3#5.8
R0332:S002, 店内不拥挤。, 店, 5.7#5.0
R0332:S010, 好喝立良棒鸳鸯。, 立良棒鸳鸯, 6.5#6.25
R0332:S013, 莱姆酒蛮好喝的。, 莱姆酒, 6.75#6.12
R0334:S018, 座位不少。, 座位, 5.5#4.83
R0334:S023, 还有新鲜的虾子。, 虾子, 6.25#5.38
R0334:S025, 有满满的海鲜味。, 海鲜味, 6.38#5.62
R0334:S030, 汤头喝起来一样是有鲜味。, 汤头, 6.38#6.12
R0335:S020, 肉嫩。, 肉, 6.5#6.12
R0335:S021, 清爽又不油腻。, NULL#NULL, 5.88#5.12 5.88#5.12
R0335:S035, 每ㄧ口都吃得出虾球的鲜嫩多汁。, 虾球, 7.0#6.33
R0335:S038, 却最吃得出食材的新鲜。, 食材, 6.17#5.33
R0335:S041, 但却塞了满满的料。, 料, 6.5#6.1
R0337:S002, 所以可以吃的到鱼肉的鲜甜。, 鱼肉, 6.83#6.5
R0337:S003, 好美味肉质。, 肉质, 6.67#6.33
R0338:S004, 米血很好吃。, 米血, 6.75#6.75
R0339:S025, 口感软嫩。, 口感, 6.25#5.88
R0339:S026, 鱼肉带点香气。, 鱼肉, 5.75#5.38
R0339:S027, 肉质带点酸味。, 肉质, 4.0#6.17
R0339:S028, 味道饱满。, 味道, 6.25#5.62
R0339:S029, 炸慈菇鲜美。, 炸慈菇, 6.5#6.17
R0339:S030, 味道细致。, 味道, 6.0#5.38
R0339:S031, 牛蒡糕清爽。, 牛蒡糕, 6.33#6.0
R0339:S040, 这个就香气十足。, 香气, 6.62#6.62
R0339:S043, 清爽的日式酱料。, 日式酱料, 6.62#6.5
R0339:S044, 看看这精美的油花纹路。, 油花纹路, 6.62#6.0
R0339:S049, 搭配清爽的日式酱汁。, 日式酱汁, 6.38#5.88
R0339:S069, 配菜都相当不错。, 配菜, 6.5#6.67
R0339:S079, 来碗汤面确实不错。, 汤面, 5.75#5.12
R0342:S037, 鸡肝超便宜的。, 鸡肝, 6.83#6.67
R0342:S038, 且口感粉嫩。, 口感, 6.5#6.2
R0342:S039, 滋味也不赖。, 滋味, 5.75#5.12
R0342:S040, 配上爽脆的酸菜。, 酸菜, 6.33#5.83
R0342:S041, 真的就是好吃。, NULL, 6.62#6.0
R0342:S044, 米血Q软。, 米血, 6.75#6.62
R0342:S046, 但口感不干柴。, 口感, 5.5#5.33
R0342:S047, 很好吃。, NULL, 6.25#6.0
R0344:S006, 味道早已被肯定。, 味道, 5.88#5.5
R0344:S044, 香味浓。, 香味, 6.12#5.38
R0344:S045, 牡丹虾好吃。, 牡丹虾, 6.38#5.5
R0344:S049, 味道超浓。, 味道, 7.0#7.12
R0344:S065, 鲜味很出色。, 鲜味, 6.62#6.5
R0346:S003, 汤还不错。, 汤, 6.0#5.5
R0346:S013, 鸡肉软嫩。, 鸡肉, 6.0#5.25
R0346:S014, 糖心蛋也不错。, 糖心蛋, 5.75#5.62
R0348:S014, 油豆腐扎实。, 油豆腐, 6.25#5.25
R0348:S016, 只是酱汁味道淡。, 酱汁味道, 4.38#4.38
R0348:S024, 瘦肉稍干硬。, 瘦肉, 4.3#5.0
R0348:S025, 卤汁偏淡。, 卤汁, 4.33#4.83
R0348:S027, 腌瓜煮得软透。, 腌瓜, 5.62#5.12
R0348:S029, 调味也是略淡。, 调味, 4.62#5.25
R0349:S013, 交通相当便利。, 交通, 6.17#5.67
R0349:S014, 空间明亮宽敞。, 空间, 6.5#6.0
R0349:S017, 店颇有质感。, 店, 6.38#6.5
R0349:S045, 白饭硬度刚好。, 白饭硬度, 6.0#5.5
R0349:S046, 湿度也掌握得恰到好处。, 湿度, 6.0#5.33
R0349:S048, 白饭相当好吃。, 白饭, 7.0#6.5
R0349:S052, 但整体香气足够。, 香气, 5.75#5.12
R0349:S053, 滋味不错。, 滋味, 6.0#5.25
R0349:S055, 让整体口味更加丰富。, 口味, 6.5#6.38
R0349:S061, 香气十足。, 香气, 6.33#6.33
R0349:S069, 但份量不是很足。, 份量, 4.17#5.0
R0349:S075, 厚度掌握得恰到好处。, 厚度, 6.0#5.67
R0349:S076, 口感软嫩。, 口感, 6.5#6.0
R0349:S077, 非常好吃。, NULL, 7.0#6.83
R0349:S078, 鸭血鲜嫩。, 鸭血, 6.5#6.0
R0349:S081, 滋味让人意犹未尽。, 滋味, 6.5#6.5
R0349:S086, 豆腐肉扎实。, 豆腐肉, 6.12#5.38
R0349:S087, 特有的臭豆腐香气令人回味无穷。, 臭豆腐香气, 7.0#6.83
R0349:S092, 嫩豆腐肉。, 豆腐肉, 5.88#5.38
R0349:S108, 面条扎实。, 面条, 6.5#6.12
R0349:S111, 是我相当喜爱的味道。, 味道, 7.75#7.5
R0349:S116, 滋味也是不错。, 滋味, 6.0#5.5
R0349:S124, 我个人相当喜爱这样的风味。, 风味, 6.75#6.75
R0349:S127, 口感松软。, 口感, 6.0#5.75
R0349:S129, 相当好吃。, NULL, 6.67#6.5
R0349:S131, 四爷麻辣食堂都令我相当满意。, 四爷麻辣食堂, 6.75#6.5
R0349:S132, 平易实惠的价格。, 价格, 6.25#5.38
R0350:S001, 觉得好像不错吃。, NULL, 5.88#5.38
R0350:S012, 饼皮好吃。, 饼皮, 6.0#5.38
R0350:S017, 卷饼有点太贵。, 卷饼, 4.0#5.12
R0351:S016, 其实我觉得以用餐空间来说是稍微挤了一点。, 用餐空间, 4.38#5.25
R0351:S021, 虽然菜色精致为主。, 菜色, 6.0#5.5
R0351:S026, 汤汁清澈。, 汤汁, 5.88#5.0
R0351:S037, 蟹脚紧实。, 蟹脚, 6.5#5.83
R0351:S044, 整体味道更为温润饱满。, 味道, 5.75#5.38
R0351:S048, 汤头甘醇。, 汤头, 6.4#5.6
R0351:S051, 肉质更为细致外。, 肉质, 6.0#5.62
R0351:S052, 河豚本身有嚼劲。, 河豚, 6.0#5.17
R0351:S081, 从来没喝过如此甘醇的高汤。, 高汤, 6.88#6.75
R0351:S106, 搭配清爽的面条。, 面条, 6.25#5.62
R0351:S113, 搭配浓郁的汤汁。, 汤汁, 6.33#6.17
R0351:S126, 肉质相当软嫩。, 肉质, 6.5#6.5
R0351:S136, 肉质软嫩。, 肉质, 6.25#5.75
R0351:S140, 味道就较为浓郁。, 味道, 5.5#5.38
R0351:S148, 栗子冰淇淋也是非常细致。, 栗子冰淇淋, 6.5#6.5
R0351:S156, 对于食材的变化对我来说也是很新鲜。, 食材, 6.5#5.67
R0353:S024, 外皮煎的酥酥脆脆的。, 外皮, 6.17#6.33
R0353:S027, 吃起来口感外酥内软。, 口感, 6.25#5.88
R0355:S001, 都会闻到很香浓的水果茶香味。, 水果茶香味, 6.75#6.5
R0355:S005, 水果茶还满好喝的欸。, 水果茶, 6.17#6.0
R0355:S006, 水果茶喝起来很顺口。, 水果茶, 6.5#6.5
R0355:S009, 雅淳水果茶是不错的选择。, 雅淳水果茶, 6.33#5.5
R0356:S009, 座位满多的。, 座位, 6.0#5.33
R0356:S010, 维持着优雅宁静的氛围。, 氛围, 6.12#5.12
R0356:S023, 面包也做到非常美味。, 面包, 6.88#6.75
R0356:S029, 口感丰富。, 口感, 6.12#5.38
R0356:S034, 酸甜绵密的香葱奶油。, 香葱奶油, 6.17#6.0
R0356:S040, 一道匠心独具的料理。, 料理, 7.0#7.0
R0356:S050, 份量十足。, 份量, 6.25#5.62
R0356:S055, 肉质更软嫩。, 肉质, 6.83#6.67
R0356:S059, 由丰富肉汁包围。, 肉汁, 6.5#6.33
R0356:S073, 但口感确实也很不错。, 口感, 6.67#6.67
R0358:S001, 咖喱酱汁浓郁。, 咖喱酱汁, 6.38#5.88
R0359:S022, 室内很小。, 室内, 3.67#5.83
R0359:S023, 而且油烟有点重。, 油烟, 4.0#5.62
R0359:S026, 气氛也较佳。, 气氛, 5.88#5.62
R0359:S044, 温热松软的蒸面包。, 蒸面包, 6.88#6.38
R0359:S051, 气氛舒适餐点也不贵。, 气氛#餐点, 6.0#5.38 5.75#5.5
R0359:S063, 环境布置优美。, 环境, 6.12#5.5
R0359:S084, 奶酪甜度适中。, 奶酪甜度, 5.33#5.0
R0359:S085, 两种风味相当浓郁。, 风味, 6.83#6.17
R0361:S002, 鲜味十足的粥。, 粥, 6.5#6.75
R0361:S011, 价格都不会太贵。, 价格, 6.33#5.33
R0361:S015, 粥还是很好吃。, 粥, 7.17#6.83
R0361:S017, 料很多。, 料, 6.12#5.62
R0361:S025, 当然风味会少一点。, 风味, 4.5#4.67
R0361:S028, 热炒类没有太出色。, 热炒类, 4.33#5.0
R0361:S030, 咸酥杏鲍菇非常够味。, 咸酥杏鲍菇, 6.67#6.33
R0361:S031, 金沙豆腐也是当天比较有记忆点的菜色。, 金沙豆腐, 5.88#5.38
R0361:S044, 整体来说还是最喜欢粥的味道。, 粥, 6.38#6.88
R0362:S019, 肉羹也很扎实。, 肉羹, 6.83#5.83
R0362:S020, 口感很好。, 口感, 6.5#6.12
R0362:S025, 蒜味满满。, 蒜味, 6.75#6.0
R0362:S028, 小黄瓜没有入味。, 小黄瓜, 4.0#5.0
R0363:S003, 空间宽敞舒适会想要再次回顾。, 空间, 6.0#5.25
R0364:S004, 餐厅气派十足。, 餐厅, 6.88#6.88
R0364:S017, 空间宽敞。, 空间, 6.12#5.75
R0364:S041, 口感香软绵弹。, 口感, 6.12#5.5
R0364:S043, 肉丝柔软。, 肉丝, 6.17#6.0
R0364:S044, 蜜汁香绵。, 蜜汁, 6.0#5.25
R0364:S046, 老醋特别开胃。, 老醋, 6.5#6.5
R0364:S048, 蛰头爽脆。, 蛰头, 6.0#5.38
R0364:S055, 黄瓜够脆。, 黄瓜, 5.88#5.75
R0364:S060, 汤头的鲜美自然不在话下。, 汤头, 6.88#6.12
R0364:S063, 入口滑软Ｑ弹。, NULL, 6.5#6.25
R0364:S067, 肉料也是丰盛。, 肉料, 6.12#5.25
R0364:S072, 肉质不算太嫩。, 肉质, 4.33#5.17
R0364:S089, 油脂特别丰富。, 油脂, 6.5#6.33
R0364:S090, 熟度抓得刚刚好。, 熟度, 5.75#5.38
R0364:S098, 米粒也是饱满Ｑ弹。, 米粒, 6.5#5.5
R0364:S100, 肉质格外劲弹。, 肉质, 6.25#6.38
R0364:S105, 但米粒更为饱满。, 米粒, 6.0#5.38
R0364:S106, 米酒更浓郁。, 米酒, 7.0#6.5
R0364:S117, 口感绵软。, 口感, 6.17#5.83
R0365:S004, 喜欢浓厚的花椒。, 花椒, 6.83#5.83
R0366:S028, 店内并不大。, 店, 5.33#5.0
R0366:S047, 烤过的麻糬富有弹性。, 麻糬, 6.33#5.33
R0367:S008, 虾膏海味浓郁。, 虾膏海味, 6.67#6.5
R0369:S010, 以用餐气氛来说真的是满分。, 气氛, 6.38#5.88
R0369:S022, 确实香气丰富。, 香气, 6.12#5.88
R0369:S029, 相当美味。, NULL, 7.0#6.5
R0369:S037, 外皮也是金黄酥香。, 外皮, 6.75#6.75
R0369:S038, 胶质饶富滋味。, 胶质, 6.0#6.5
R0369:S046, 脂肪格外肥厚。, 脂肪, 6.25#6.12
R0369:S047, 嚼口间更显肉质油脆。, 肉质, 6.83#6.17
