ID, Sentence, Aspect, Valence_Mean, Arousal_Mean
R1442:S001, 但食材都蛮精致的。, 食材, 6.25, 5.75
R1442:S005, 鸡肉软嫩。, 鸡肉, 6.17, 5.33
R1442:S006, 鲈鱼份量不多。, 鲈鱼份量, 4.88, 5.50
R1442:S007, 配料也都做得很好吃。, 配料, 6.00, 5.50
R1443:S006, 饮料好喝。, 饮料, 5.88, 5.50
R1443:S007, 点心好吃。, 点心, 5.75, 5.12
R1444:S009, 餐点口味好吃。, 餐点口味, 6.50, 5.80
R1444:S019, 九孔鲍很好吃。, 九孔鲍, 6.33, 6.17
R1444:S022, 还能品尝到九孔鲍的鲜甜。, 九孔鲍, 6.17, 5.33
R1445:S001, 龙虾真的好吃。, 龙虾, 6.75, 6.50
R1445:S009, 餐点非常丰盛。, 餐点, 6.62, 6.62
R1445:S014, 生鱼片很新鲜。, 生鱼片, 5.88, 5.88
R1445:S015, 小蛋糕蛮好吃的。, 小蛋糕, 6.30, 6.20
R1445:S019, 餐厅地点方便。, 餐厅地点, 5.88, 5.38
R1447:S009, 食材部分都很新鲜。, 食材, 6.50, 6.12
R1448:S001, 红茶一杯90比平价牛排店的免费饮料还难喝。, 红茶, 3.50, 5.25
R1448:S009, 蕈菇浓汤好喝。, 蕈菇浓汤, 5.88, 5.00
R1451:S004, 翼板牛排很软嫩。, 翼板牛排, 6.38, 5.62
R1451:S005, 调味上也算好吃。, 调味, 5.88, 5.50
R1451:S006, 炖饭不会太糊。, 炖饭, 5.25, 5.00
R1451:S008, 香煎鲈鱼佐松露炒蛋蛮丰盛的。, 香煎鲈鱼佐松露炒蛋, 6.38, 6.00
R1451:S012, 红乌龙鲜奶茶稍微偏甜。, 红乌龙鲜奶茶, 4.80, 5.30
R1451:S015, 餐厅店员服务还算不错。, 店员服务, 5.75, 5.38
R1452:S001, 餐厅服务很到位。, 服务, 6.62, 6.38
R1452:S007, 松子很香。, 松子, 6.67, 5.83
R1452:S011, 百香果荔枝气泡饮香气层次丰富。, 百香果荔枝气泡饮香气层次, 6.38, 6.25
R1453:S001, 嫩鸡很香。, 嫩鸡, 6.50, 6.00
R1453:S007, 炙烧牛排松露卡菲酱炖饭好吃。, 炙烧牛排松露卡菲酱炖饭, 6.17, 5.50
R1453:S008, 牛排有嫩。, 牛排, 6.00, 5.25
R1453:S011, 配料口感丰富。, 配料口感, 6.00, 5.50
R1453:S014, 饮料好喝。, 饮料, 5.88, 5.38
R1453:S016, 汉堡不错吃。, 汉堡, 5.88, 5.50
R1454:S001, 脆薯不脆。, 脆薯, 4.50, 5.50
R1454:S005, 甜点焦糖烤布丁是好吃的。, 焦糖烤布丁, 6.00, 5.38
R1454:S009, 餐厅服务上是很好的。, 服务, 6.33, 5.83
R1455:S007, 肉的话个人则是蛮满意的。, 肉, 6.50, 5.75
R1456:S005, 炙烤牛排佐波特酒酱超好吃。, 炙烤牛排佐波特酒酱, 7.25, 7.12
R1456:S008, 细薯条也满好吃。, 细薯条, 6.50, 6.33
R1456:S010, 整体来说餐点非常好吃。, 餐点, 6.80, 6.50
R1456:S011, 店员服务算是不错。, 店员服务, 5.62, 5.38
R1456:S013, 餐厅价格略高。, 餐厅价格, 4.12, 4.88
R1457:S012, 松露蛋滋味满不错的。, 松露蛋滋味, 6.00, 5.50
R1457:S013, 明太子面包也非常的香。, 明太子面包, 7.30, 7.00
R1458:S000, 蓝纹起司的汉堡很香。, 蓝纹起司的汉堡, 6.00, 5.88
R1458:S002, 汉堡排多汁。, 汉堡排, 6.00, 5.38
R1458:S003, 蓝纹起司美味。, 蓝纹起司, 6.88, 6.25
R1458:S005, 水果青茶冰沙清爽。, 水果青茶冰沙, 5.80, 5.30
R1458:S007, 当日汤品非常美味。, 汤品, 6.80, 6.50
R1459:S003, 结果那个墨西哥辣椒汉堡没很好吃。, 墨西哥辣椒汉堡, 4.50, 5.38
R1459:S004, 牛肉排居然没啥肉味。, 牛肉排, 4.33, 5.17
R1459:S007, 然后汤有点淡。, 汤, 4.62, 4.88
R1459:S009, 甜点还不错吃。, 甜点, 5.88, 5.50
R1460:S003, 餐厅环境不错。, 餐厅环境, 6.00, 5.50
R1460:S006, 但是汉堡是好吃的。, 汉堡, 5.88, 5.38
R1462:S026, 餐点很不错。, 餐点, 5.75, 5.50
R1463:S003, 餐点口味还不错。, 餐点口味, 6.00, 5.17
R1463:S004, 餐点口味清淡。, 餐点口味, 5.25, 5.25
R1463:S006, 餐点份量偏小。, 餐点份量, 4.00, 5.50
R1464:S004, 战斧猪排份量蛮大的。, 战斧猪排份量, 6.00, 5.50
R1465:S000, 点了炸物拼盘非常失望。, 炸物拼盘, 3.33, 7.00
R1465:S003, 烤生蚝不错。, 烤生蚝, 5.75, 5.50
R1465:S005, 韩式炸鸡超香。, 韩式炸鸡, 6.67, 6.33
R1465:S009, 餐厅这样的服务品质真的超烂。, 服务品质, 2.38, 7.50
R1467:S009, 海鲜浓汤口味很淡。, 海鲜浓汤口味, 3.75, 5.50
R1467:S016, 牛排真的不及格。, 牛排, 4.00, 5.38
R1467:S020, 单点酥炸老墨咸蛋鱿鱼还不错。, 酥炸老墨咸蛋鱿鱼, 6.25, 5.50
R1467:S022, 墨西哥辣椒很赞。, 墨西哥辣椒, 6.25, 5.62
R1467:S023, 面包不错。, 面包, 6.00, 5.17
R1467:S024, 肉排也好吃。, 肉排, 5.83, 5.00
R1467:S028, 推巧克力布朗尼很优。, 巧克力布朗尼, 6.50, 6.12
R1468:S000, 餐厅用餐气氛很好。, 用餐气氛, 6.33, 5.83
R1468:S012, 餐厅服务的亲切度略显不足。, 服务的亲切度, 3.88, 4.62
R1468:S013, 整体餐点还可以。, 餐点, 5.38, 5.25
R1468:S015, 甜点不错。, 甜点, 5.50, 5.25
R1469:S010, 海鲜意大利面够味。, 海鲜意大利面, 5.75, 5.25
R1469:S011, 可乐很棒。, 可乐, 6.12, 5.50
R1470:S005, 法西塔还不错。, 法西塔, 5.75, 5.50
R1470:S008, 炸鸡排口味上都还不错。, 炸鸡排口味, 6.00, 5.50
R1471:S002, 汉堡蛮好吃的。, 汉堡, 6.12, 5.50
R1471:S004, 吃起来肉质新鲜。, 肉质, 6.12, 5.75
R1471:S005, 不过意大利面就很普通。, 意大利面, 4.83, 4.50
R1471:S006, 点了明太子奶酱鱿鱼意大利面调味偏单一。, 明太子奶酱鱿鱼意大利面调味, 3.83, 4.67
R1471:S008, 而且鱿鱼好大一条。, 鱿鱼, 6.50, 6.12
R1471:S013, 整体餐点也没有特别突出的餐厅。, 餐点, 4.50, 5.00
R1472:S000, 鲑鱼慢烤鸡腿排好吃。, 鲑鱼慢烤鸡腿排, 6.00, 5.33
R1472:S004, 鸡腿排味道也不错。, 鸡腿排味道, 5.83, 5.17
R1472:S006, 炸鸡多汁。, 炸鸡, 5.88, 5.50
R1472:S007, 酱料不错。, 酱料, 5.62, 5.12
R1472:S008, 红酱好吃。, 红酱, 6.50, 5.88
R1473:S001, 鸡肉生菜沙拉表现不错。, 鸡肉生菜沙拉表现, 5.88, 5.38
R1473:S002, 炸鸡胸肉块表现不错。, 炸鸡胸肉块表现, 5.75, 5.50
R1473:S003, 面包很香。, 面包, 6.38, 6.00
R1473:S004, 法国面包好干。, 法国面包, 4.33, 5.33
R1473:S008, 炸洋葱片还蛮香的。, 炸洋葱片, 6.12, 5.50
R1473:S009, 金沙酱还算不错。, 金沙酱, 6.00, 5.38
R1473:S010, 烤糖脆片很香。, 烤糖脆片, 6.25, 5.75
R1474:S001, 双人套餐份量很足。, 双人套餐份量, 6.12, 5.75
R1474:S015, 这个布朗尼应该是我吃过最难吃的布朗尼。, 布朗尼, 2.17, 7.67
R1475:S002, 餐点好吃。, 餐点, 5.88, 5.12
R1475:S003, 花生酱的汉堡非常好吃。, 花生酱的汉堡, 7.00, 6.50
R1475:S004, 牛肉很厚。, 牛肉, 6.17, 5.50
R1475:S007, 餐点价格真的太贵。, 餐点价格, 4.00, 4.33
R1476:S000, 法西塔意外的好吃。, 法西塔, 6.50, 6.50
R1476:S001, 牛肉熟度控制的很好。, 牛肉熟度, 6.38, 6.00
R1476:S002, 馅料真的满好吃的。, 馅料, 6.75, 6.00
R1476:S003, 饼皮也做的不错。, 饼皮, 5.75, 5.62
R1476:S011, 生菜的口感不错。, 生菜的口感, 5.75, 5.38
R1477:S002, 冰咖啡很难喝。, 冰咖啡, 2.75, 6.25
R1477:S006, 提拉米苏真的很难吃。, 提拉米苏, 2.00, 7.00
R1477:S007, 奶油感觉很不新鲜。, 奶油, 3.62, 5.50
R1480:S002, 餐厅店员服务也不错。, 店员服务, 5.75, 5.62
R1480:S005, 双蛋泼辣嫩鸡饭很好吃。, 双蛋泼辣嫩鸡饭, 6.75, 6.62
R1480:S006, 米心硬度恰到好处。, 米心硬度, 6.25, 5.50
R1480:S007, 米心整体来说不会过湿。, 米心, 5.25, 5.00
R1480:S008, 墨西哥饼皮非常赞。, 墨西哥饼皮, 7.12, 7.62
R1480:S011, 鸡肉不错。, 鸡肉, 5.62, 5.50
R1480:S012, 但鲜虾不够Q弹。, 鲜虾, 3.67, 4.33
R1480:S013, 餐点品质好。, 餐点品质, 5.83, 5.00
R1481:S001, 蘑菇炒鲜虾炖饭味道很棒。, 蘑菇炒鲜虾炖饭味道, 6.00, 6.25
R1481:S002, 牛排真的很不佳。, 牛排, 3.20, 5.80
R1482:S002, 汤不仅没有味道，还十分油腻。, 汤, 3.58, 5.33
R1482:S007, 鸡肉沙拉不好吃。, 鸡肉沙拉, 3.75, 4.88
R1482:S009, 烤鸡肉软嫩。, 烤鸡肉, 6.00, 5.62
R1482:S011, 沙拉酱很香。, 沙拉酱, 5.88, 5.25
R1482:S013, 主餐西南汉堡还不错。, 西南汉堡, 5.75, 5.62
R1482:S014, 附上的焦糖葡萄柚还不赖。, 焦糖葡萄柚, 6.00, 5.25
R1482:S019, 冰淇淋布朗尼作为甜点是今日最满意。, 冰淇淋布朗尼, 7.17, 6.50
R1482:S022, 餐饮整体还算可以。, 餐饮, 5.50, 5.25
R1482:S023, 餐厅用餐环境相当优良。, 用餐环境, 7.17, 7.00
R1483:S000, 香蒜白酒蛤蜊面好吃。, 香蒜白酒蛤蜊面, 6.75, 6.25
R1483:S002, 但餐厅食物比想像中精致。, 食物, 6.00, 5.50
R1483:S003, 整体而言还不错吃。, 整体, 6.00, 5.75
R1483:S004, 但是餐点价位实在有点高。, 餐点价位, 4.67, 5.17
R1483:S010, 汤整体而言不错。, 汤, 5.67, 5.50
R1483:S013, 白酒蛤蜊意大利面好吃。, 白酒蛤蜊意大利面, 6.20, 5.80
R1483:S014, 可惜蛤蜊数量有点少。, 蛤蜊数量, 4.30, 4.50
R1483:S015, 面条有嚼劲。, 面条, 5.62, 5.00
R1483:S017, 起司份量偏少。, 起司份量, 4.38, 5.00
R1483:S019, 布朗尼甜而不腻。, 布朗尼, 6.00, 6.00
R1483:S020, 冰淇淋好吃。, 冰淇淋, 6.00, 5.50
R1484:S001, 帮我们服务的餐厅店员态度很好。, 餐厅店员态度, 6.50, 6.50
R1484:S003, 餐点份量都算足够。, 餐点份量, 5.62, 5.00
R1484:S006, 但烙饼非常好吃。, 烙饼, 6.83, 6.67
R1485:S001, 菜色选择很多。, 菜色选择, 6.25, 5.75
R1485:S003, 酸甜酱汁大加分。, 酸甜酱汁, 6.67, 6.00
R1485:S005, 无花果非常开胃。, 无花果, 6.50, 6.67
R1485:S006, 煎鲑鱼很香。, 煎鲑鱼, 6.33, 5.83
R1485:S007, 地瓜藜麦蛮好吃的。, 地瓜藜麦, 6.25, 6.00
R1486:S002, 松露鸡腿饭还不错。, 松露鸡腿饭, 5.75, 5.25
R1486:S004, 班尼蛋不错。, 班尼蛋, 5.75, 5.75
R1486:S007, 小牛犊排算好吃。, 小牛犊排, 6.62, 6.25
R1486:S009, 这个前菜有点小贵。, 前菜, 4.00, 4.67
R1487:S003, 重点肋眼牛排比我自己煎的还要难吃。, 肋眼牛排, 2.25, 5.88
R1487:S007, 牛排香气扑鼻。, 牛排, 6.25, 5.88
R1487:S008, 蛋糕软绵。, 蛋糕, 6.00, 5.38
R1488:S004, 鲜蚵粥真好吃。, 鲜蚵粥, 6.12, 5.62
R1488:S005, 蚵仔很新鲜。, 蚵仔, 6.00, 5.88
R1488:S006, 养生粥好吃。, 养生粥, 6.30, 5.70
R1488:S011, 麻油腰子好吃。, 麻油腰子, 5.70, 5.20
R1489:S003, 餐厅服务员服务态度非常不好。, 餐厅服务员服务态度, 2.12, 6.62
R1489:S008, 海鲜很新鲜。, 海鲜, 6.33, 5.67
R1489:S009, 红𫊻粥膏非常绵密。, 红𫊻粥膏, 6.62, 6.12
R1489:S014, 空心菜炒牛肉还可以。, 空心菜炒牛肉, 5.67, 5.50
R1489:S015, 沙虾部分倒是很新鲜。, 沙虾, 6.17, 5.67
R1489:S016, 麻辣皮蛋还不错。, 麻辣皮蛋, 6.00, 5.83
R1489:S017, 餐厅现场接待态度也很不好。, 餐厅现场接待态度, 3.25, 5.12
R1490:S001, 鲍鱼粥份量满大的。, 鲍鱼粥份量, 6.33, 6.17
R1490:S003, 葱爆猪肉整体是好吃。, 葱爆猪肉, 6.10, 5.80
R1490:S005, 金沙杏鲍菇蛮好吃的。, 金沙杏鲍菇, 6.00, 5.50
R1490:S008, 水莲炒肉丝好吃。, 水莲炒肉丝, 5.75, 5.38
R1490:S009, 水莲炒肉丝份量不多。, 水莲炒肉丝份量, 4.33, 5.17
R1490:S010, 酱烩鲜蚵油条份量算是满大的。, 酱烩鲜蚵油条份量, 6.12, 5.50
R1490:S012, 蚵有鲜。, 蚵, 6.67, 6.33
R1491:S003, 土鸡粥个人觉得厉害。, 土鸡粥, 6.00, 5.38
R1491:S005, 干贝是很鲜甜。, 干贝, 6.30, 6.30
R1491:S008, 但我个人口味推荐的是土鸡粥。, 土鸡粥, 5.67, 5.33
R1491:S011, 里面鲜蚵油条有让人惊艳。, 鲜蚵油条, 6.50, 6.62
R1492:S000, 最最喜欢吃的粥。, 粥, 7.00, 7.00
R1492:S009, 鱼片真的很好吃。, 鱼片, 6.33, 6.50
R1492:S021, 粥的份量很大。, 粥的份量, 6.00, 5.62
R1492:S022, 但热炒的份量比较普通。, 热炒的份量, 5.00, 5.00
R1492:S024, 中卷的表现超乎预期的好吃。, 中卷的表现, 7.17, 6.83
R1493:S007, 餐点相当的多样化呢。, 餐点, 6.38, 6.12
R1493:S011, 粥煮得很浓稠。, 粥, 6.50, 6.33
R1493:S012, 而且汤底也很鲜甜。, 汤底, 6.33, 5.67
R1493:S014, 调味也做得很好。, 调味, 6.00, 5.25
R1493:S022, 尤其是金沙豆腐有够软嫩。, 金沙豆腐, 6.50, 6.12
R1493:S024, 三杯中卷的话料理的也是很入味。, 三杯中卷, 6.38, 6.00
R1493:S025, 海鲜也都够新鲜。, 海鲜, 5.88, 5.75
R1494:S000, 餐厅员工的服务友善。, 餐厅员工的服务, 5.88, 5.38
R1494:S009, 粥份量不算多。, 粥份量, 5.00, 5.50
R1494:S010, 料很丰富。, 料, 6.00, 5.62
R1495:S000, 鲍鱼粥没什么味道。, 鲍鱼粥, 4.50, 5.25
R1495:S001, 中卷粥也普通。, 中卷粥, 5.00, 5.00
R1495:S003, 土鸡粥是我比较喜欢的。, 土鸡粥, 5.88, 5.25
R1495:S005, 小菜部分最喜欢凤梨虾球。, 凤梨虾球, 6.75, 6.38
R1496:S010, 整锅粥变得鲜香浓郁。, 粥, 6.33, 6.00
R1496:S011, 粥超级好吃。, 粥, 7.00, 6.67
R1497:S004, 泰式酸辣松阪肉很入味。, 泰式酸辣松阪肉, 6.62, 6.50
R1497:S008, 蒜泥白肉很不错。, 蒜泥白肉, 6.25, 5.75
R1497:S009, 肉质嫩。, 肉质, 5.88, 5.38
R1497:S020, 脆皮肥肠有够赞的。, 脆皮肥肠, 6.50, 6.38
R1497:S023, 餐厅服务人员每个都很热心。, 餐厅服务人员, 6.25, 5.62
R1499:S000, 干贝粥咸香。, 干贝粥, 6.17, 5.33
R1499:S006, 小丸子美味。, 小丸子, 6.75, 6.25
R1499:S008, 热炒菜色多样。, 热炒菜色, 5.75, 5.25
R1500:S020, 砂锅粥真的很好吃。, 砂锅粥, 6.83, 6.50
R1500:S021, 砂锅粥好入口。, 砂锅粥, 5.75, 5.38
R1500:S023, 每一口尝到的都是浓郁甘醇的高汤。, 高汤, 6.12, 5.50
R1500:S027, 金沙豆腐的咸蛋黄不够突出。, 咸蛋黄, 4.33, 5.17
R1500:S029, 但我蛮喜欢野菇牛。, 野菇牛, 6.33, 5.83
R1501:S002, 粥口味上还行。, 粥口味, 5.50, 5.00
R1501:S007, 海鲜粥的鲜味浓厚。, 海鲜粥的鲜味, 6.00, 5.33
R1502:S000, 红𫊻粥真的非常好吃。, 红𫊻粥, 7.00, 7.00
R1502:S001, 红𫊻粥很新鲜。, 红𫊻粥, 6.12, 5.75
R1502:S002, 金牌油鸡也超赞。, 金牌油鸡, 7.00, 7.33
R1502:S003, 金沙豆腐也是一级棒。, 金沙豆腐, 7.00, 6.75
R1502:S004, 金沙豆腐非常推荐。, 金沙豆腐, 6.83, 6.33
R1502:S005, 餐厅服务部分也觉得很不错啊。, 餐厅服务, 6.00, 5.75
R1503:S010, 粥品熬的很入味。, 粥品, 6.70, 6.50
R1503:S011, 粥品不会过咸。, 粥品, 5.62, 5.00
R1504:S009, 整个粥的味道丰富。, 粥的味道, 6.30, 6.00
R1504:S011, 红𫊻粥真的很推荐。, 红𫊻粥, 6.83, 6.33
R1504:S014, 虾子都蛮新鲜的。, 虾子, 6.50, 6.50
R1505:S000, 潮州砂锅粥好吃。, 潮州砂锅粥, 6.40, 5.80
R1505:S001, 热炒也美味可口。, 热炒, 6.75, 6.38
R1505:S002, 鲷鱼粥鱼片很好吃。, 鲷鱼粥鱼片, 6.17, 6.50
R1505:S005, 招牌蛋豆腐超好吃。, 招牌蛋豆腐, 6.75, 6.75
R1505:S006, 招牌蛋豆腐很满意。, 招牌蛋豆腐, 6.12, 5.75
R1506:S005, 粥味道非常浓郁。, 粥味道, 7.00, 6.33
R1506:S006, 里头的用料非常美味。, 用料, 7.00, 6.50
R1506:S011, 真的非常推荐红𫊻粥蟹腿粥。, 红𫊻粥蟹腿粥, 6.83, 7.00
R1506:S012, 土鸡粥很美味。, 土鸡粥, 6.50, 6.67
R1506:S013, 热炒菜也很美味。, 热炒菜, 6.50, 6.50
R1506:S019, 而且菜色花样很多。, 菜色花样, 6.50, 6.17
R1507:S004, 粥的口感浓密。, 粥的口感, 6.00, 5.33
R1507:S007, 炖饭口味真的非常棒。, 炖饭口味, 7.00, 7.00
R1507:S008, 炖饭够鲜。, 炖饭, 6.17, 5.83
R1508:S004, 餐厅环境纾压。, 餐厅环境, 6.00, 5.33
R1509:S016, 食材多样化。, 食材, 5.88, 5.50
R1509:S017, 餐厅环境很舒适怡人。, 餐厅环境, 5.75, 5.25
R1509:S019, 餐点道道都很好吃。, 餐点, 6.75, 6.50
R1509:S021, 肉质软嫩。, 肉质, 6.12, 5.62
R1509:S022, 饭又粒粒分明。, 饭, 6.17, 6.00
R1509:S025, 又想尝尝美味的虾头。, 虾头, 6.75, 6.38
R1509:S028, 猪肉肉质有点柴。, 猪肉肉质, 4.50, 4.67
R1509:S029, 酱汁调味没有特色。, 酱汁调味, 4.50, 5.00
R1510:S000, 餐厅环境优美。, 餐厅环境, 6.50, 5.83
R1510:S004, 伊比利猪好好吃。, 伊比利猪, 6.25, 6.00
R1510:S005, 鱼下巴不错。, 鱼下巴, 6.17, 5.50
R1510:S007, 腊肠萝卜蒸饭相当好吃。, 腊肠萝卜蒸饭, 6.62, 6.25
R1510:S008, 萝卜味浓醇香。, 萝卜味, 5.75, 5.38
R1510:S013, 甜点也不错。, 甜点, 6.33, 5.83
R1512:S018, 前菜让人惊艳。, 前菜, 6.83, 6.83
R1512:S019, 烤大虾有够鲜甜。, 烤大虾, 6.50, 6.90
R1512:S021, 竹笋炖饭口感清爽。, 竹笋炖饭口感, 6.00, 5.38
R1512:S024, 最后的鸡汤好喝。, 鸡汤, 6.10, 5.70
R1512:S027, 我觉得料理都很好吃的。, 料理, 6.88, 6.38
R1512:S028, 虽说餐点价格不便宜。, 餐点价格, 4.50, 5.17
R1513:S010, 现煮的麻油鸭肉饭超香。, 麻油鸭肉饭, 7.00, 6.88
R1514:S000, 餐点好吃。, 餐点, 6.12, 5.38
R1514:S001, 餐厅环境很棒。, 餐厅环境, 6.00, 5.75
R1514:S002, 麻油鸭香饭真的很棒。, 麻油鸭香饭, 6.67, 6.50
R1516:S006, 餐点很好吃。, 餐点, 6.40, 6.30
R1516:S007, 餐厅服务也很好。, 餐厅服务, 6.50, 6.30
R1517:S002, 餐点份量较不足。, 餐点份量, 4.30, 5.00
R1517:S003, 甜点也要加强。, 甜点, 4.25, 5.25
R1518:S001, 店内气氛宁静闲适。, 店内气氛, 6.12, 5.50
R1519:S011, 笋香腊味饭超好吃。, 笋香腊味饭, 7.00, 6.62
R1519:S012, 优格班节虾很新鲜。, 优格班节虾, 6.00, 5.62
R1521:S001, 餐厅氛围相当悠适。, 餐厅氛围, 6.00, 5.83
R1521:S010, 桑葚汁还不错。, 桑葚汁, 5.88, 5.50
R1522:S002, 澎湖斑节虾非常好吃。, 澎湖斑节虾, 6.88, 7.12
R1522:S003, 最后的当归鸡汤也非常舒服。, 当归鸡汤, 6.12, 6.00
R1524:S008, 鲭鱼下巴还不错。, 鲭鱼下巴, 6.33, 5.83
R1524:S041, 餐厅服务人员态度差。, 餐厅服务人员态度, 3.50, 4.62
R1524:S051, 但餐点的品质不是很好。, 餐点的品质, 3.83, 5.50
R1525:S001, 整体来说餐点都蛮好吃的。, 餐点, 6.00, 5.75
R1527:S009, 螺肉好吃。, 螺肉, 5.88, 5.12
R1527:S016, 鸡肉偏干柴。, 鸡肉, 4.00, 5.00
R1527:S017, 鱼肉甘甜。, 鱼肉, 6.17, 5.33
R1527:S020, 鱼肉口感也很好。, 鱼肉口感, 6.00, 5.62
R1527:S023, 鸡肉偏硬。, 鸡肉, 4.25, 4.88
R1527:S024, 鸡肉不好入口。, 鸡肉, 4.12, 4.50
R1528:S004, 龙虾可以。, 龙虾, 5.75, 5.25
R1528:S006, 主餐和牛份量比我想像中的少。, 和牛份量, 4.33, 4.33
R1528:S008, 蟹肉味道没有很融入。, 蟹肉味道, 4.17, 5.83
R1529:S002, 餐点份量足。, 餐点份量, 6.20, 5.70
R1529:S003, 尤其是鳕场蟹让人很惊艳。, 鳕场蟹, 6.62, 6.50
R1529:S005, 还有龙虾汤的调味真的不习惯。, 龙虾汤的调味, 4.33, 5.50
R1530:S005, 海鲜很新鲜。, 海鲜, 6.25, 6.38
R1530:S009, 餐厅服务品质很差。, 餐厅服务品质, 3.25, 5.38
R1532:S019, 饮料意外好喝。, 饮料, 6.50, 5.50
