ID, Sentence, Aspect, Valence_Mean, Arousal_Mean
R1434:S002, 餐點很好吃。, 餐點, 6.88, 6.50
R1434:S005, 肉非常軟嫩。, 肉, 6.62, 6.88
R1434:S007, 咖啡還不錯。, 咖啡, 6.00, 5.50
R1434:S008, 餐廳整體來說蠻不錯的。, 餐廳, 6.00, 5.75
R1435:S003, 雞肉烹煮過頭而乾柴。, 雞肉, 4.00, 4.67
R1435:S005, 鮭魚份量不多。, 鮭魚份量, 4.75, 5.12
R1437:S002, 餐廳食材新鮮。, 食材, 6.00, 5.25
R1437:S006, 甜點份量小。, 甜點份量, 4.88, 5.62
R1438:S002, 餐點還不錯。, 餐點, 6.00, 5.62
R1439:S009, 但餐點味道完全不到位。, 餐點味道, 2.50, 7.00
R1439:S010, 酸辣甜鹹的平衡感很糟。, 酸辣甜鹹的平衡感, 3.12, 5.75
R1439:S011, 東南亞料理好吃。, 東南亞料理, 6.00, 6.00
R1439:S016, 蝦子好吃。, 蝦子, 6.30, 5.80
R1439:S023, 涼拌牛肉不錯。, 涼拌牛肉, 6.17, 5.50
R1439:S025, 醬料的味道完全不對。, 醬料的味道, 3.62, 6.12
R1439:S037, 甜點非常精緻。, 甜點, 6.88, 6.88
R1439:S042, 雞白湯吃完沒有記憶點。, 雞白湯, 4.00, 5.00
R1439:S044, 檸檬塔覺得好吃。, 檸檬塔, 6.12, 5.38
R1439:S050, 餐點品質很好。, 餐點品質, 6.17, 6.00
R1440:S008, 所有的菜色風味不到位。, 菜色風味, 4.00, 4.90
R1440:S012, 乳酪蛋糕口感真的不好。, 乳酪蛋糕口感, 3.33, 6.50
R1441:S005, 餐廳廚師動作很快。, 廚師動作, 6.00, 6.00
R1441:S011, 生蠔佐芒果莎莎好吃。, 生蠔佐芒果莎莎, 6.33, 5.50
R1441:S013, 生蠔配芒果莎莎很新鮮。, 生蠔配芒果莎莎, 6.67, 7.00
R1441:S014, 生蠔味道還不錯。, 生蠔味道, 6.17, 5.33
R1441:S019, 自助餐菜色蠻多。, 自助餐菜色, 5.75, 5.62
R1441:S023, 現沖牛肉湯好喝。, 現沖牛肉湯, 5.88, 5.62
R1441:S027, 燻鮭魚也不錯。, 燻鮭魚, 5.88, 5.25
R1441:S037, 那個魷魚味道我不喜歡。, 魷魚味道, 3.90, 5.40
R1441:S043, 檯面的燉羊肉不錯。, 燉羊肉, 5.80, 5.20
R1441:S051, 反正甜點我不推。, 甜點, 3.67, 6.17
R1441:S054, 只有黑巧克力比較好吃。, 黑巧克力, 5.88, 5.50
R1441:S056, 亞答枳果乾水果好吃。, 亞答枳果乾水果, 5.75, 5.25
R1442:S001, 但食材都蠻精緻的。, 食材, 6.25, 5.75
R1442:S005, 雞肉軟嫩。, 雞肉, 6.17, 5.33
R1442:S006, 鱸魚份量不多。, 鱸魚份量, 4.88, 5.50
R1442:S007, 配料也都做得很好吃。, 配料, 6.00, 5.50
R1443:S006, 飲料好喝。, 飲料, 5.88, 5.50
R1443:S007, 點心好吃。, 點心, 5.75, 5.12
R1444:S009, 餐點口味好吃。, 餐點口味, 6.50, 5.80
R1444:S019, 九孔鮑很好吃。, 九孔鮑, 6.33, 6.17
R1444:S022, 還能品嚐到九孔鮑的鮮甜。, 九孔鮑, 6.17, 5.33
R1445:S001, 龍蝦真的好吃。, 龍蝦, 6.75, 6.50
R1445:S009, 餐點非常豐盛。, 餐點, 6.62, 6.62
R1445:S014, 生魚片很新鮮。, 生魚片, 5.88, 5.88
R1445:S015, 小蛋糕蠻好吃的。, 小蛋糕, 6.30, 6.20
R1445:S019, 餐廳地點方便。, 餐廳地點, 5.88, 5.38
R1447:S009, 食材部分都很新鮮。, 食材, 6.50, 6.12
R1448:S001, 紅茶一杯90比平價牛排店的免費飲料還難喝。, 紅茶, 3.50, 5.25
R1448:S009, 蕈菇濃湯好喝。, 蕈菇濃湯, 5.88, 5.00
R1451:S004, 翼板牛排很軟嫩。, 翼板牛排, 6.38, 5.62
R1451:S005, 調味上也算好吃。, 調味, 5.88, 5.50
R1451:S006, 燉飯不會太糊。, 燉飯, 5.25, 5.00
R1451:S008, 香煎鱸魚佐松露炒蛋蠻豐盛的。, 香煎鱸魚佐松露炒蛋, 6.38, 6.00
R1451:S012, 紅烏龍鮮奶茶稍微偏甜。, 紅烏龍鮮奶茶, 4.80, 5.30
R1451:S015, 餐廳店員服務還算不錯。, 店員服務, 5.75, 5.38
R1452:S001, 餐廳服務很到位。, 服務, 6.62, 6.38
R1452:S007, 松子很香。, 松子, 6.67, 5.83
R1452:S011, 百香果荔枝氣泡飲香氣層次豐富。, 百香果荔枝氣泡飲香氣層次, 6.38, 6.25
R1453:S001, 嫩雞很香。, 嫩雞, 6.50, 6.00
R1453:S007, 炙燒牛排松露卡菲醬燉飯好吃。, 炙燒牛排松露卡菲醬燉飯, 6.17, 5.50
R1453:S008, 牛排有嫩。, 牛排, 6.00, 5.25
R1453:S011, 配料口感豐富。, 配料口感, 6.00, 5.50
R1453:S014, 飲料好喝。, 飲料, 5.88, 5.38
R1453:S016, 漢堡不錯吃。, 漢堡, 5.88, 5.50
R1454:S001, 脆薯不脆。, 脆薯, 4.50, 5.50
R1454:S005, 甜點焦糖烤布丁是好吃的。, 焦糖烤布丁, 6.00, 5.38
R1454:S009, 餐廳服務上是很好的。, 服務, 6.33, 5.83
R1455:S007, 肉的話個人則是蠻滿意的。, 肉, 6.50, 5.75
R1456:S005, 炙烤牛排佐波特酒醬超好吃。, 炙烤牛排佐波特酒醬, 7.25, 7.12
R1456:S008, 細薯條也滿好吃。, 細薯條, 6.50, 6.33
R1456:S010, 整體來說餐點非常好吃。, 餐點, 6.80, 6.50
R1456:S011, 店員服務算是不錯。, 店員服務, 5.62, 5.38
R1456:S013, 餐廳價格略高。, 餐廳價格, 4.12, 4.88
R1457:S012, 松露蛋滋味滿不錯的。, 松露蛋滋味, 6.00, 5.50
R1457:S013, 明太子麵包也非常的香。, 明太子麵包, 7.30, 7.00
R1458:S000, 藍紋起司的漢堡很香。, 藍紋起司的漢堡, 6.00, 5.88
R1458:S002, 漢堡排多汁。, 漢堡排, 6.00, 5.38
R1458:S003, 藍紋起司美味。, 藍紋起司, 6.88, 6.25
R1458:S005, 水果青茶冰沙清爽。, 水果青茶冰沙, 5.80, 5.30
R1458:S007, 當日湯品非常美味。, 湯品, 6.80, 6.50
R1459:S003, 結果那個墨西哥辣椒漢堡沒很好吃。, 墨西哥辣椒漢堡, 4.50, 5.38
R1459:S004, 牛肉排居然沒啥肉味。, 牛肉排, 4.33, 5.17
R1459:S007, 然後湯有點淡。, 湯, 4.62, 4.88
R1459:S009, 甜點還不錯吃。, 甜點, 5.88, 5.50
R1460:S003, 餐廳環境不錯。, 餐廳環境, 6.00, 5.50
R1460:S006, 但是漢堡是好吃的。, 漢堡, 5.88, 5.38
R1462:S026, 餐點很不錯。, 餐點, 5.75, 5.50
R1463:S003, 餐點口味還不錯。, 餐點口味, 6.00, 5.17
R1463:S004, 餐點口味清淡。, 餐點口味, 5.25, 5.25
R1463:S006, 餐點份量偏小。, 餐點份量, 4.00, 5.50
R1464:S004, 戰斧豬排份量蠻大的。, 戰斧豬排份量, 6.00, 5.50
R1465:S000, 點了炸物拼盤非常失望。, 炸物拼盤, 3.33, 7.00
R1465:S003, 烤生蠔不錯。, 烤生蠔, 5.75, 5.50
R1465:S005, 韓式炸雞超香。, 韓式炸雞, 6.67, 6.33
R1465:S009, 餐廳這樣的服務品質真的超爛。, 服務品質, 2.38, 7.50
R1467:S009, 海鮮濃湯口味很淡。, 海鮮濃湯口味, 3.75, 5.50
R1467:S016, 牛排真的不及格。, 牛排, 4.00, 5.38
R1467:S020, 單點酥炸老墨鹹蛋魷魚還不錯。, 酥炸老墨鹹蛋魷魚, 6.25, 5.50
R1467:S022, 墨西哥辣椒很讚。, 墨西哥辣椒, 6.25, 5.62
R1467:S023, 麵包不錯。, 麵包, 6.00, 5.17
R1467:S024, 肉排也好吃。, 肉排, 5.83, 5.00
R1467:S028, 推巧克力布朗尼很優。, 巧克力布朗尼, 6.50, 6.12
R1468:S000, 餐廳用餐氣氛很好。, 用餐氣氛, 6.33, 5.83
R1468:S012, 餐廳服務的親切度略顯不足。, 服務的親切度, 3.88, 4.62
R1468:S013, 整體餐點還可以。, 餐點, 5.38, 5.25
R1468:S015, 甜點不錯。, 甜點, 5.50, 5.25
R1469:S010, 海鮮義大利麵夠味。, 海鮮義大利麵, 5.75, 5.25
R1469:S011, 可樂很棒。, 可樂, 6.12, 5.50
R1470:S005, 法西塔還不錯。, 法西塔, 5.75, 5.50
R1470:S008, 炸雞排口味上都還不錯。, 炸雞排口味, 6.00, 5.50
R1471:S002, 漢堡蠻好吃的。, 漢堡, 6.12, 5.50
R1471:S004, 吃起來肉質新鮮。, 肉質, 6.12, 5.75
R1471:S005, 不過義大利麵就很普通。, 義大利麵, 4.83, 4.50
R1471:S006, 點了明太子奶醬魷魚義大利麵調味偏單一。, 明太子奶醬魷魚義大利麵調味, 3.83, 4.67
R1471:S008, 而且魷魚好大一條。, 魷魚, 6.50, 6.12
R1471:S013, 整體餐點也沒有特別突出的餐廳。, 餐點, 4.50, 5.00
R1472:S000, 鮭魚慢烤雞腿排好吃。, 鮭魚慢烤雞腿排, 6.00, 5.33
R1472:S004, 雞腿排味道也不錯。, 雞腿排味道, 5.83, 5.17
R1472:S006, 炸雞多汁。, 炸雞, 5.88, 5.50
R1472:S007, 醬料不錯。, 醬料, 5.62, 5.12
R1472:S008, 紅醬好吃。, 紅醬, 6.50, 5.88
R1473:S001, 雞肉生菜沙拉表現不錯。, 雞肉生菜沙拉表現, 5.88, 5.38
R1473:S002, 炸雞胸肉塊表現不錯。, 炸雞胸肉塊表現, 5.75, 5.50
R1473:S003, 麵包很香。, 麵包, 6.38, 6.00
R1473:S004, 法國麵包好乾。, 法國麵包, 4.33, 5.33
R1473:S008, 炸洋蔥片還蠻香的。, 炸洋蔥片, 6.12, 5.50
R1473:S009, 金沙醬還算不錯。, 金沙醬, 6.00, 5.38
R1473:S010, 烤糖脆片很香。, 烤糖脆片, 6.25, 5.75
R1474:S001, 雙人套餐份量很足。, 雙人套餐份量, 6.12, 5.75
R1474:S015, 這個布朗尼應該是我吃過最難吃的布朗尼。, 布朗尼, 2.17, 7.67
R1475:S002, 餐點好吃。, 餐點, 5.88, 5.12
R1475:S003, 花生醬的漢堡非常好吃。, 花生醬的漢堡, 7.00, 6.50
R1475:S004, 牛肉很厚。, 牛肉, 6.17, 5.50
R1475:S007, 餐點價格真的太貴。, 餐點價格, 4.00, 4.33
R1476:S000, 法西塔意外的好吃。, 法西塔, 6.50, 6.50
R1476:S001, 牛肉熟度控制的很好。, 牛肉熟度, 6.38, 6.00
R1476:S002, 餡料真的滿好吃的。, 餡料, 6.75, 6.00
R1476:S003, 餅皮也做的不錯。, 餅皮, 5.75, 5.62
R1476:S011, 生菜的口感不錯。, 生菜的口感, 5.75, 5.38
R1477:S002, 冰咖啡很難喝。, 冰咖啡, 2.75, 6.25
R1477:S006, 提拉米蘇真的很難吃。, 提拉米蘇, 2.00, 7.00
R1477:S007, 奶油感覺很不新鮮。, 奶油, 3.62, 5.50
R1480:S002, 餐廳店員服務也不錯。, 店員服務, 5.75, 5.62
R1480:S005, 雙蛋潑辣嫩雞飯很好吃。, 雙蛋潑辣嫩雞飯, 6.75, 6.62
R1480:S006, 米心硬度恰到好處。, 米心硬度, 6.25, 5.50
R1480:S007, 米心整體來說不會過濕。, 米心, 5.25, 5.00
R1480:S008, 墨西哥餅皮非常讚。, 墨西哥餅皮, 7.12, 7.62
R1480:S011, 雞肉不錯。, 雞肉, 5.62, 5.50
R1480:S012, 但鮮蝦不夠Q彈。, 鮮蝦, 3.67, 4.33
R1480:S013, 餐點品質好。, 餐點品質, 5.83, 5.00
R1481:S001, 蘑菇炒鮮蝦燉飯味道很棒。, 蘑菇炒鮮蝦燉飯味道, 6.00, 6.25
R1481:S002, 牛排真的很不佳。, 牛排, 3.20, 5.80
R1482:S002, 湯不僅沒有味道，還十分油膩。, 湯, 3.58, 5.33
R1482:S007, 雞肉沙拉不好吃。, 雞肉沙拉, 3.75, 4.88
R1482:S009, 烤雞肉軟嫩。, 烤雞肉, 6.00, 5.62
R1482:S011, 沙拉醬很香。, 沙拉醬, 5.88, 5.25
R1482:S013, 主餐西南漢堡還不錯。, 西南漢堡, 5.75, 5.62
R1482:S014, 附上的焦糖葡萄柚還不賴。, 焦糖葡萄柚, 6.00, 5.25
R1482:S019, 冰淇淋布朗尼作為甜點是今日最滿意。, 冰淇淋布朗尼, 7.17, 6.50
R1482:S022, 餐飲整體還算可以。, 餐飲, 5.50, 5.25
R1482:S023, 餐廳用餐環境相當優良。, 用餐環境, 7.17, 7.00
R1483:S000, 香蒜白酒蛤蜊麵好吃。, 香蒜白酒蛤蜊麵, 6.75, 6.25
R1483:S002, 但餐廳食物比想像中精緻。, 食物, 6.00, 5.50
R1483:S003, 整體而言還不錯吃。, 整體, 6.00, 5.75
R1483:S004, 但是餐點價位實在有點高。, 餐點價位, 4.67, 5.17
R1483:S010, 湯整體而言不錯。, 湯, 5.67, 5.50
R1483:S013, 白酒蛤蜊義大利麵好吃。, 白酒蛤蜊義大利麵, 6.20, 5.80
R1483:S014, 可惜蛤蜊數量有點少。, 蛤蜊數量, 4.30, 4.50
R1483:S015, 麵條有嚼勁。, 麵條, 5.62, 5.00
R1483:S017, 起司份量偏少。, 起司份量, 4.38, 5.00
R1483:S019, 布朗尼甜而不膩。, 布朗尼, 6.00, 6.00
R1483:S020, 冰淇淋好吃。, 冰淇淋, 6.00, 5.50
R1484:S001, 幫我們服務的餐廳店員態度很好。, 餐廳店員態度, 6.50, 6.50
R1484:S003, 餐點份量都算足夠。, 餐點份量, 5.62, 5.00
R1484:S006, 但烙餅非常好吃。, 烙餅, 6.83, 6.67
R1485:S001, 菜色選擇很多。, 菜色選擇, 6.25, 5.75
R1485:S003, 酸甜醬汁大加分。, 酸甜醬汁, 6.67, 6.00
R1485:S005, 無花果非常開胃。, 無花果, 6.50, 6.67
R1485:S006, 煎鮭魚很香。, 煎鮭魚, 6.33, 5.83
R1485:S007, 地瓜藜麥蠻好吃的。, 地瓜藜麥, 6.25, 6.00
R1486:S002, 松露雞腿飯還不錯。, 松露雞腿飯, 5.75, 5.25
R1486:S004, 班尼蛋不錯。, 班尼蛋, 5.75, 5.75
R1486:S007, 小牛犢排算好吃。, 小牛犢排, 6.62, 6.25
R1486:S009, 這個前菜有點小貴。, 前菜, 4.00, 4.67
R1487:S003, 重點肋眼牛排比我自己煎的還要難吃。, 肋眼牛排, 2.25, 5.88
R1487:S007, 牛排香氣撲鼻。, 牛排, 6.25, 5.88
R1487:S008, 蛋糕軟綿。, 蛋糕, 6.00, 5.38
R1488:S004, 鮮蚵粥真好吃。, 鮮蚵粥, 6.12, 5.62
R1488:S005, 蚵仔很新鮮。, 蚵仔, 6.00, 5.88
R1488:S006, 養生粥好吃。, 養生粥, 6.30, 5.70
R1488:S011, 麻油腰子好吃。, 麻油腰子, 5.70, 5.20
R1489:S003, 餐廳服務員服務態度非常不好。, 餐廳服務員服務態度, 2.12, 6.62
R1489:S008, 海鮮很新鮮。, 海鮮, 6.33, 5.67
R1489:S009, 紅蟳粥膏非常綿密。, 紅蟳粥膏, 6.62, 6.12
R1489:S014, 空心菜炒牛肉還可以。, 空心菜炒牛肉, 5.67, 5.50
R1489:S015, 沙蝦部分倒是很新鮮。, 沙蝦, 6.17, 5.67
R1489:S016, 麻辣皮蛋還不錯。, 麻辣皮蛋, 6.00, 5.83
R1489:S017, 餐廳現場接待態度也很不好。, 餐廳現場接待態度, 3.25, 5.12
R1490:S001, 鮑魚粥份量滿大的。, 鮑魚粥份量, 6.33, 6.17
R1490:S003, 蔥爆豬肉整體是好吃。, 蔥爆豬肉, 6.10, 5.80
R1490:S005, 金沙杏鮑菇蠻好吃的。, 金沙杏鮑菇, 6.00, 5.50
R1490:S008, 水蓮炒肉絲好吃。, 水蓮炒肉絲, 5.75, 5.38
R1490:S009, 水蓮炒肉絲份量不多。, 水蓮炒肉絲份量, 4.33, 5.17
R1490:S010, 醬燴鮮蚵油條份量算是滿大的。, 醬燴鮮蚵油條份量, 6.12, 5.50
R1490:S012, 蚵有鮮。, 蚵, 6.67, 6.33
R1491:S003, 土雞粥個人覺得厲害。, 土雞粥, 6.00, 5.38
R1491:S005, 干貝是很鮮甜。, 干貝, 6.30, 6.30
R1491:S008, 但我個人口味推薦的是土雞粥。, 土雞粥, 5.67, 5.33
R1491:S011, 裡面鮮蚵油條有讓人驚艷。, 鮮蚵油條, 6.50, 6.62
R1492:S000, 最最喜歡吃的粥。, 粥, 7.00, 7.00
R1492:S009, 魚片真的很好吃。, 魚片, 6.33, 6.50
R1492:S021, 粥的份量很大。, 粥的份量, 6.00, 5.62
R1492:S022, 但熱炒的份量比較普通。, 熱炒的份量, 5.00, 5.00
R1492:S024, 中卷的表現超乎預期的好吃。, 中卷的表現, 7.17, 6.83
R1493:S007, 餐點相當的多樣化呢。, 餐點, 6.38, 6.12
R1493:S011, 粥煮得很濃稠。, 粥, 6.50, 6.33
R1493:S012, 而且湯底也很鮮甜。, 湯底, 6.33, 5.67
R1493:S014, 調味也做得很好。, 調味, 6.00, 5.25
R1493:S022, 尤其是金沙豆腐有夠軟嫩。, 金沙豆腐, 6.50, 6.12
R1493:S024, 三杯中卷的話料理的也是很入味。, 三杯中卷, 6.38, 6.00
R1493:S025, 海鮮也都夠新鮮。, 海鮮, 5.88, 5.75
R1494:S000, 餐廳員工的服務友善。, 餐廳員工的服務, 5.88, 5.38
R1494:S009, 粥份量不算多。, 粥份量, 5.00, 5.50
R1494:S010, 料很豐富。, 料, 6.00, 5.62
R1495:S000, 鮑魚粥沒什麼味道。, 鮑魚粥, 4.50, 5.25
R1495:S001, 中卷粥也普通。, 中卷粥, 5.00, 5.00
R1495:S003, 土雞粥是我比較喜歡的。, 土雞粥, 5.88, 5.25
R1495:S005, 小菜部分最喜歡鳳梨蝦球。, 鳳梨蝦球, 6.75, 6.38
R1496:S010, 整鍋粥變得鮮香濃郁。, 粥, 6.33, 6.00
R1496:S011, 粥超級好吃。, 粥, 7.00, 6.67
R1497:S004, 泰式酸辣松阪肉很入味。, 泰式酸辣松阪肉, 6.62, 6.50
R1497:S008, 蒜泥白肉很不錯。, 蒜泥白肉, 6.25, 5.75
R1497:S009, 肉質嫩。, 肉質, 5.88, 5.38
R1497:S020, 脆皮肥腸有夠讚的。, 脆皮肥腸, 6.50, 6.38
R1497:S023, 餐廳服務人員每個都很熱心。, 餐廳服務人員, 6.25, 5.62
R1499:S000, 干貝粥鹹香。, 干貝粥, 6.17, 5.33
R1499:S006, 小丸子美味。, 小丸子, 6.75, 6.25
R1499:S008, 熱炒菜色多樣。, 熱炒菜色, 5.75, 5.25
R1500:S020, 砂鍋粥真的很好吃。, 砂鍋粥, 6.83, 6.50
R1500:S021, 砂鍋粥好入口。, 砂鍋粥, 5.75, 5.38
R1500:S023, 每一口嚐到的都是濃郁甘醇的高湯。, 高湯, 6.12, 5.50
R1500:S027, 金沙豆腐的鹹蛋黃不夠突出。, 鹹蛋黃, 4.33, 5.17
R1500:S029, 但我蠻喜歡野菇牛。, 野菇牛, 6.33, 5.83
R1501:S002, 粥口味上還行。, 粥口味, 5.50, 5.00
R1501:S007, 海鮮粥的鮮味濃厚。, 海鮮粥的鮮味, 6.00, 5.33
R1502:S000, 紅蟳粥真的非常好吃。, 紅蟳粥, 7.00, 7.00
R1502:S001, 紅蟳粥很新鮮。, 紅蟳粥, 6.12, 5.75
R1502:S002, 金牌油雞也超讚。, 金牌油雞, 7.00, 7.33
R1502:S003, 金沙豆腐也是一級棒。, 金沙豆腐, 7.00, 6.75
R1502:S004, 金沙豆腐非常推薦。, 金沙豆腐, 6.83, 6.33
R1502:S005, 餐廳服務部分也覺得很不錯啊。, 餐廳服務, 6.00, 5.75
R1503:S010, 粥品熬的很入味。, 粥品, 6.70, 6.50
R1503:S011, 粥品不會過鹹。, 粥品, 5.62, 5.00
R1504:S009, 整個粥的味道豐富。, 粥的味道, 6.30, 6.00
R1504:S011, 紅蟳粥真的很推薦。, 紅蟳粥, 6.83, 6.33
R1504:S014, 蝦子都蠻新鮮的。, 蝦子, 6.50, 6.50
R1505:S000, 潮州砂鍋粥好吃。, 潮州砂鍋粥, 6.40, 5.80
R1505:S001, 熱炒也美味可口。, 熱炒, 6.75, 6.38
R1505:S002, 鯛魚粥魚片很好吃。, 鯛魚粥魚片, 6.17, 6.50
R1505:S005, 招牌蛋豆腐超好吃。, 招牌蛋豆腐, 6.75, 6.75
R1505:S006, 招牌蛋豆腐很滿意。, 招牌蛋豆腐, 6.12, 5.75
R1506:S005, 粥味道非常濃郁。, 粥味道, 7.00, 6.33
R1506:S006, 裡頭的用料非常美味。, 用料, 7.00, 6.50
R1506:S011, 真的非常推薦紅蟳粥蟹腿粥。, 紅蟳粥蟹腿粥, 6.83, 7.00
R1506:S012, 土雞粥很美味。, 土雞粥, 6.50, 6.67
R1506:S013, 熱炒菜也很美味。, 熱炒菜, 6.50, 6.50
R1506:S019, 而且菜色花樣很多。, 菜色花樣, 6.50, 6.17
R1507:S004, 粥的口感濃密。, 粥的口感, 6.00, 5.33
R1507:S007, 燉飯口味真的非常棒。, 燉飯口味, 7.00, 7.00
R1507:S008, 燉飯夠鮮。, 燉飯, 6.17, 5.83
R1508:S004, 餐廳環境紓壓。, 餐廳環境, 6.00, 5.33
R1509:S016, 食材多樣化。, 食材, 5.88, 5.50
R1509:S017, 餐廳環境很舒適怡人。, 餐廳環境, 5.75, 5.25
R1509:S019, 餐點道道都很好吃。, 餐點, 6.75, 6.50
R1509:S021, 肉質軟嫩。, 肉質, 6.12, 5.62
R1509:S022, 飯又粒粒分明。, 飯, 6.17, 6.00
R1509:S025, 又想嚐嚐美味的蝦頭。, 蝦頭, 6.75, 6.38
R1509:S028, 豬肉肉質有點柴。, 豬肉肉質, 4.50, 4.67
R1509:S029, 醬汁調味沒有特色。, 醬汁調味, 4.50, 5.00
R1510:S000, 餐廳環境優美。, 餐廳環境, 6.50, 5.83
R1510:S004, 伊比利豬好好吃。, 伊比利豬, 6.25, 6.00
R1510:S005, 魚下巴不錯。, 魚下巴, 6.17, 5.50
R1510:S007, 臘腸蘿蔔蒸飯相當好吃。, 臘腸蘿蔔蒸飯, 6.62, 6.25
R1510:S008, 蘿蔔味濃醇香。, 蘿蔔味, 5.75, 5.38
R1510:S013, 甜點也不錯。, 甜點, 6.33, 5.83
R1512:S018, 前菜讓人驚豔。, 前菜, 6.83, 6.83
R1512:S019, 烤大蝦有夠鮮甜。, 烤大蝦, 6.50, 6.90
R1512:S021, 竹筍燉飯口感清爽。, 竹筍燉飯口感, 6.00, 5.38
R1512:S024, 最後的雞湯好喝。, 雞湯, 6.10, 5.70
R1512:S027, 我覺得料理都很好吃的。, 料理, 6.88, 6.38
R1512:S028, 雖說餐點價格不便宜。, 餐點價格, 4.50, 5.17
R1513:S010, 現煮的麻油鴨肉飯超香。, 麻油鴨肉飯, 7.00, 6.88
R1514:S000, 餐點好吃。, 餐點, 6.12, 5.38
R1514:S001, 餐廳環境很棒。, 餐廳環境, 6.00, 5.75
R1514:S002, 麻油鴨香飯真的很棒。, 麻油鴨香飯, 6.67, 6.50
R1516:S006, 餐點很好吃。, 餐點, 6.40, 6.30
R1516:S007, 餐廳服務也很好。, 餐廳服務, 6.50, 6.30
R1517:S002, 餐點份量較不足。, 餐點份量, 4.30, 5.00
R1517:S003, 甜點也要加強。, 甜點, 4.25, 5.25
R1518:S001, 店內氣氛寧靜閒適。, 店內氣氛, 6.12, 5.50
R1519:S011, 筍香臘味飯超好吃。, 筍香臘味飯, 7.00, 6.62
R1519:S012, 優格班節蝦很新鮮。, 優格班節蝦, 6.00, 5.62
R1521:S001, 餐廳氛圍相當悠適。, 餐廳氛圍, 6.00, 5.83
R1521:S010, 桑葚汁還不錯。, 桑葚汁, 5.88, 5.50
R1522:S002, 澎湖斑節蝦非常好吃。, 澎湖斑節蝦, 6.88, 7.12
R1522:S003, 最後的當歸雞湯也非常舒服。, 當歸雞湯, 6.12, 6.00
R1524:S008, 鯖魚下巴還不錯。, 鯖魚下巴, 6.33, 5.83
R1524:S041, 餐廳服務人員態度差。, 餐廳服務人員態度, 3.50, 4.62
R1524:S051, 但餐點的品質不是很好。, 餐點的品質, 3.83, 5.50
R1525:S001, 整體來說餐點都蠻好吃的。, 餐點, 6.00, 5.75
R1527:S009, 螺肉好吃。, 螺肉, 5.88, 5.12
R1527:S016, 雞肉偏乾柴。, 雞肉, 4.00, 5.00
R1527:S017, 魚肉甘甜。, 魚肉, 6.17, 5.33
R1527:S020, 魚肉口感也很好。, 魚肉口感, 6.00, 5.62
R1527:S023, 雞肉偏硬。, 雞肉, 4.25, 4.88
R1527:S024, 雞肉不好入口。, 雞肉, 4.12, 4.50
R1528:S004, 龍蝦可以。, 龍蝦, 5.75, 5.25
R1528:S006, 主餐和牛份量比我想像中的少。, 和牛份量, 4.33, 4.33
R1528:S008, 蟹肉味道沒有很融入。, 蟹肉味道, 4.17, 5.83
R1529:S002, 餐點份量足。, 餐點份量, 6.20, 5.70
R1529:S003, 尤其是鱈場蟹讓人很驚艷。, 鱈場蟹, 6.62, 6.50
